university,country,city,program,field,level,tuition_usd_yearly,min_cgpa,scholarship_available,scholarship_details,application_deadline,qs_rank,ielts_min,accommodation_available,part_time_work,website,source_url,admission_requirements,source_dataset
Middle East Technical University,Turkey,Ankara,MSc Data Science,Data Science,Master,3000,2.7,Yes,METU graduate scholarships,2027-06-01,601.0,6.0,Yes,Yes,https://metu.edu.tr,https://metu.edu.tr,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Bilkent University,Turkey,Ankara,MD Program,Medicine,Bachelor,15000,3.2,Yes,Full/partial tuition scholarships,2027-06-01,,6.5,Yes,No,https://bilkent.edu.tr,https://bilkent.edu.tr,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Tsinghua University,China,Beijing,Master of Business Administration,Business,Master,12000,3.0,Yes,Chinese Government Scholarship (CSC),2027-03-01,20.0,6.5,Yes,Yes,https://tsinghua.edu.cn,https://tsinghua.edu.cn,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
FAST National University of Computer and Emerging Sciences,Pakistan,Karachi,MS Computer Science,Computer Science,Master,2800,3.0,Yes,FAST merit scholarships,2027-06-30,,6.0,Yes,Yes,https://nu.edu.pk,https://nu.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Air University,Pakistan,Islamabad,MS Data Science,Data Science,Master,2200,2.8,Yes,Air University merit scholarships,2027-07-01,,6.0,Yes,Yes,https://au.edu.pk,https://au.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Malaya,Malaysia,Kuala Lumpur,Bachelor of Business Administration,Business,Bachelor,4200,2.8,Yes,Merit-based tuition waiver,6/30/2027,65.0,6.0,Yes,Yes,https://um.edu.my,https://um.edu.my,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Sunway University,Malaysia,Petaling Jaya,Bachelor of Engineering (Mechanical),Engineering,Bachelor,6500,2.7,Yes,Sunway entrance scholarship,5/30/2027,,6.0,Yes,Yes,https://sunwayuniversity.edu.my,https://sunwayuniversity.edu.my,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
National University of Sciences and Technology (NUST),Pakistan,Islamabad,BS Data Science,Data Science,Bachelor,2600,2.8,Yes,Need-based + merit scholarships available,6/30/2027,355.0,6.0,Yes,No,https://nust.edu.pk,https://nust.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Lahore University of Management Sciences (LUMS),Pakistan,Lahore,BS Business Administration,Business,Bachelor,8000,3.0,Yes,LUMS National Outreach Programme,3/15/2027,401.0,6.5,Yes,No,https://lums.edu.pk,https://lums.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Engineering and Technology (UET) Lahore,Pakistan,Lahore,BSc Mechanical Engineering,Engineering,Bachelor,1800,2.5,No,,7/15/2027,,6.0,Yes,Yes,https://uet.edu.pk,https://uet.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
FAST National University of Computer and Emerging Sciences,Pakistan,Karachi,BS Data Science,Data Science,Bachelor,2500,2.8,Yes,FAST merit scholarships,6/30/2027,,6.0,Yes,Yes,https://nu.edu.pk,https://nu.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Toronto,Canada,Toronto,Bachelor of Commerce,Business,Bachelor,45000,3.2,Yes,Rotman merit scholarships,1/15/2027,21.0,6.5,Yes,Yes,https://utoronto.ca,https://utoronto.ca,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of British Columbia (UBC),Canada,Vancouver,Bachelor of Applied Science (Engineering),Engineering,Bachelor,40000,3.0,Yes,UBC Centennial Scholars,1/31/2027,34.0,6.5,Yes,Yes,https://ubc.ca,https://ubc.ca,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Melbourne,Australia,Melbourne,Bachelor of Science (Data Science),Data Science,Bachelor,38000,2.9,Yes,Melbourne Chancellor's Scholarship,10/31/2027,14.0,6.5,Yes,Yes,https://unimelb.edu.au,https://unimelb.edu.au,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Monash University,Australia,Melbourne,Bachelor of Business,Business,Bachelor,34000,2.8,Yes,Monash International Merit Scholarship,9/30/2027,42.0,6.5,Yes,Yes,https://monash.edu,https://monash.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Technical University of Munich (TUM),Germany,Munich,Bachelor of Mechanical Engineering,Engineering,Bachelor,0,2.8,No,,5/31/2027,37.0,6.0,Yes,Yes,https://tum.de,https://tum.de,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
National University of Singapore,Singapore,Singapore,Bachelor of Business Administration,Business,Bachelor,30000,3.0,Yes,ASEAN Undergraduate Scholarship,1/31/2027,8.0,6.5,Yes,Yes,https://nus.edu.sg,https://nus.edu.sg,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Imperial College London,UK,London,BEng Mechanical Engineering,Engineering,Bachelor,35000,3.0,Yes,President's Scholarship,1/25/2027,6.0,6.5,Yes,Yes,https://imperial.ac.uk,https://imperial.ac.uk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Manchester,UK,Manchester,BSc Data Science,Data Science,Bachelor,28000,2.7,Yes,Manchester Means Excellence Scholarship,1/15/2027,32.0,6.0,Yes,Yes,https://manchester.ac.uk,https://manchester.ac.uk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Air University,Pakistan,Islamabad,BS Business Analytics,Business,Bachelor,1800,2.5,Yes,Air University merit scholarships,7/1/2027,,5.5,Yes,Yes,https://au.edu.pk,https://au.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Aga Khan University,Pakistan,Karachi,BSc Nursing (pre-medical track),Medicine,Bachelor,5000,3.0,Yes,Merit + need-based aid,5/1/2027,,6.0,Yes,No,https://aku.edu,https://aku.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Malaya,Malaysia,Kuala Lumpur,MBBS,Medicine,Bachelor,14000,3.3,Yes,Postgraduate research scholarships,6/30/2027,65.0,6.5,Yes,No,https://um.edu.my,https://um.edu.my,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Middle East Technical University,Turkey,Ankara,BSc Computer Engineering,Computer Science,Bachelor,2200,2.5,Yes,METU undergraduate scholarships,6/1/2027,601.0,5.5,Yes,Yes,https://metu.edu.tr,https://metu.edu.tr,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
RWTH Aachen University,Germany,Aachen,Bachelor of Data Science,Data Science,Bachelor,1500,2.6,No,,6/15/2027,106.0,6.0,Yes,Yes,https://rwth-aachen.de,https://rwth-aachen.de,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
American University of Sharjah (AUS),UAE,Sharjah,BBA,Business,Bachelor,20000,2.8,Yes,AUS undergraduate merit scholarships,4/30/2027,379.0,6.0,Yes,No,https://aus.edu,https://aus.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
